Number,User,Log Loss,Correct,Wrong,Accuracy
1,Namita,0.6644,699,482,59.19%
2,Rob,0.6670,713,468,60.37%
3,Dom,0.6695,700,481,59.27%
4,Darryl,0.6697,699,482,59.19%
5,Manny,0.6702,689,492,58.34%
6,Luke,0.6721,698,483,59.10%
7,Savvas,0.6723,689,492,58.34%
8,Cullen,0.6727,690,491,58.43%
9,Peter,0.6751,692,489,58.59%
10,Greg,0.6753,702,479,59.44%
11,VSM Sant,0.6757,,,59.80%
12,TempoFreeHockey,0.6768,693,488,58.68%
13,VSM One,0.6777,,,59.80%
14,Michael L.,0.6784,677,504,57.32%
15,Alex N.,0.6812,674,507,57.07%
16,Dawson,0.6828,683,498,57.83%
17,Ian,0.6829,670,411,61.98%
18,Micah,0.6844,661,520,55.97%
19,Matt Ch.,0.6848,683,498,57.83%
20,Alex G.,0.6882,665,516,56.31%
21,Matt Ca.,0.6932,662,519,56.05%
22,Danny,0.6949,661,520,55.97%
